Unnamed: 0.1,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,QED,mol
4333,5104,CCC(C)C=1N=CC(=CN1)NC(=O)NCC=2C=CC=C(C2)C(=O)O,Z2362311223,328.367,328.367,3.426,-3.266,3,5,104.21,8,https://real.enamine.net/public-enum-files/Z2362311223,0.7558881307706057,<rdkit.Chem.rdchem.Mol object at 0x14308e570>
4334,5105,CCCC1=NSC(=N1)NC(=O)NC=2C=CC=C(C2)CC(=O)O,Z2362314565,320.369,320.369,2.571,-3.805,3,5,104.21,8,https://real.enamine.net/public-enum-files/Z2362314565,0.7589014689545053,<rdkit.Chem.rdchem.Mol object at 0x14308e5e0>
4336,5107,CC(C)N1C=CC(CC(=O)NCC2=CC=C(S2)C(=O)O)=N1,Z2376846343,307.37,307.37,1.178,-2.279,2,4,84.22,7,https://real.enamine.net/public-enum-files/Z2376846343,0.8555169912509608,<rdkit.Chem.rdchem.Mol object at 0x14308e6c0>
4337,5108,CC(C)OC=1C=CC(=CC1)C(=O)NCC2=CC=C(S2)C(=O)O,Z2376852942,319.377,319.377,3.375,-4.236,2,4,75.63,7,https://real.enamine.net/public-enum-files/Z2376852942,0.8573119259767302,<rdkit.Chem.rdchem.Mol object at 0x14308e730>
4339,5110,O=C(O)C1=CC=C(CNC(=O)C2COC=3C=CC=CC3C2)S1,Z2376854287,317.361,317.361,2.547,-4.036,2,4,75.63,5,https://real.enamine.net/public-enum-files/Z2376854287,0.9071783038055264,<rdkit.Chem.rdchem.Mol object at 0x14308e810>
4340,5111,COCC(C)(C)N1CCN(CC1)C(=O)C2=CSC(=O)N2,Z2407930276,299.391,299.391,0.256,-2.096,1,4,61.88,5,https://real.enamine.net/public-enum-files/Z2407930276,0.8849437353109542,<rdkit.Chem.rdchem.Mol object at 0x14308e880>
4342,5113,CCC(=O)N1CCN(C1)C(=O)C2(CC2)S(C)(=O)=O,Z2408003904,274.338,274.338,-0.355,-1.718,0,4,74.76,5,https://real.enamine.net/public-enum-files/Z2408003904,0.7017240108606501,<rdkit.Chem.rdchem.Mol object at 0x14308e960>
4344,5115,CCNC=1C=CC(Cl)=CC1C(=O)N2CC(C2)N3N=C(C)N=C3C,Z2410016023,333.816,333.816,1.927,-3.01,1,4,63.05,5,https://real.enamine.net/public-enum-files/Z2410016023,0.9340044686443368,<rdkit.Chem.rdchem.Mol object at 0x14308ea40>
4347,5118,CC(CCC1=CC=CO1)NS(=O)(=O)C=2C=CC(=NC2)C(=O)O,Z2437129722,324.354,324.354,2.82,-2.136,2,5,109.5,7,https://real.enamine.net/public-enum-files/Z2437129722,0.8015310010220313,<rdkit.Chem.rdchem.Mol object at 0x14308eb90>
4349,5120,O=C(O)CCCS(=O)(=O)N1CCCC=2C=C(F)C=CC21,Z2437199168,301.335,301.335,2.332,-2.524,1,4,74.68,5,https://real.enamine.net/public-enum-files/Z2437199168,0.8991803685673189,<rdkit.Chem.rdchem.Mol object at 0x14308ec70>
