,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
8842,10359,NC(=O)C1CCCN1C2CCN(CC2)C(=O)CC=3C=CC(F)=CC3,Z1021031502,333.401,333.401,0.589,-2.46,1,3,66.64,5,https://real.enamine.net/public-enum-files/Z1021031502,<rdkit.Chem.rdchem.Mol object at 0x17bb44a50>,0.903318008461714
8843,10360,CC=1C=C(Cl)C=CC1OC(C)C(=O)N2CCCN(CC2)C(N)=O,Z1021043534,339.817,339.817,1.302,-3.93,1,3,75.87,3,https://real.enamine.net/public-enum-files/Z1021043534,<rdkit.Chem.rdchem.Mol object at 0x17bb44ac0>,0.9150298704684172
8844,10361,COC=1C=CC=C2CCCN(C(=O)CCN3C(=O)COC=4C=CC=CC43)C12,Z358228690,366.411,366.411,3.104,-4.546,0,4,59.08,4,https://real.enamine.net/public-enum-files/Z358228690,<rdkit.Chem.rdchem.Mol object at 0x17bb44b30>,0.8349156668615999
8845,10362,N#CC=1C=CC(=CC1)CN2N=C(C=CC2=O)C=3C=CC=4OCCCOC4C3,Z927889074,359.379,359.379,2.616,-4.906,0,5,74.92,3,https://real.enamine.net/public-enum-files/Z927889074,<rdkit.Chem.rdchem.Mol object at 0x17bb44ba0>,0.7183985509934196
8846,10363,CNC(=O)C1CC=2C=CC=CC2CN1C(=O)C3=CC=C(Cl)C(Cl)=C3,Z240704420,363.238,363.238,3.508,-5.49,1,2,49.41,4,https://real.enamine.net/public-enum-files/Z240704420,<rdkit.Chem.rdchem.Mol object at 0x17bb44c10>,0.8901882155852073
8847,10364,COCC=1C=CC=CC1NC(=O)CN2C=NC=3C=CC=CC3C2=O,Z451836130,323.347,323.347,0.981,-3.652,1,4,71.0,6,https://real.enamine.net/public-enum-files/Z451836130,<rdkit.Chem.rdchem.Mol object at 0x17bb44c80>,0.7809139066164442
8848,10365,COC=1C=CC(=CC1OC)CCC(=O)N2C(CC3CCCCC32)C(=O)O,Z1020690120,361.433,361.433,2.82,-3.748,1,5,76.07,6,https://real.enamine.net/public-enum-files/Z1020690120,<rdkit.Chem.rdchem.Mol object at 0x17bb44cf0>,0.8430839754541813
8849,10366,COC=1C=CC=CC1CC(=O)N2CCC(CC2)(C(=O)O)C=3C=CC=CC3,Z85908404,353.412,353.412,2.249,-2.999,1,4,66.84,5,https://real.enamine.net/public-enum-files/Z85908404,<rdkit.Chem.rdchem.Mol object at 0x17bb44d60>,0.8975157880080684
8850,10367,CC=1C=CC=2C=C(NC2C1)C(=O)N3CCCC(C)CC3,Z914178312,270.37,270.37,3.775,-4.973,1,1,36.1,2,https://real.enamine.net/public-enum-files/Z914178312,<rdkit.Chem.rdchem.Mol object at 0x17bb44dd0>,0.8416215722432462
8851,10368,COC=1C=CC=CC1N2CCN(CC2)C(=O)C=3C=C(C)SC3C,Z89290371,330.446,330.446,3.561,-4.75,0,3,32.78,4,https://real.enamine.net/public-enum-files/Z89290371,<rdkit.Chem.rdchem.Mol object at 0x17bb44e40>,0.8652131965989245
8852,10369,CC(=O)N1C=2C=CC=CC2C[C@H]1C(=O)NC=3C=CC=C(C3)N4C=NN=C4,Z1022032812,347.372,347.372,1.39,-4.56,1,4,80.12,5,https://real.enamine.net/public-enum-files/Z1022032812,<rdkit.Chem.rdchem.Mol object at 0x17bb44eb0>,0.7874595057142636
8853,10370,COC=1C=CC=CC1C(C)NC(=O)[C@@H]2CC=3C=CC=CC3N2C(C)=O,Z1021902882,338.401,338.401,2.529,-4.2,1,3,58.64,6,https://real.enamine.net/public-enum-files/Z1021902882,<rdkit.Chem.rdchem.Mol object at 0x17bb44f20>,0.9324761641777348
8854,10371,O=C(C1=CC=2C=C(F)C=CC2N1)N3CCC(CC3)NC=4C=CC(F)=CC4,Z827326692,355.382,355.382,3.18,-5.961,2,2,48.13,3,https://real.enamine.net/public-enum-files/Z827326692,<rdkit.Chem.rdchem.Mol object at 0x17bb44f90>,0.741017148189691
