,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
25157,CC1OC=2C(=CC=CC2C1C)C(=O)N3CCN(CC=4C=CC=CC4)CC3,Z144376870,350.455,350.455,4.448,-4.31,0,3,32.78,4,https://real.enamine.net/public-enum-files/Z144376870,<rdkit.Chem.rdchem.Mol object at 0x309cf27a0>,0.8489225008247789
25159,COC=1C=CC=C(C1)N2CCN(CC2)C(=O)C3CC(=O)N(C)C3,Z363282920,317.384,317.384,2.275,-2.378,0,4,53.09,4,https://real.enamine.net/public-enum-files/Z363282920,<rdkit.Chem.rdchem.Mol object at 0x309cf2880>,0.828253243316903
25160,COC=1C=CC=C(C1)N2CCN(CC2)C(=O)C=3C=CC(C)=C(C3)OC,Z109178092,340.417,340.417,3.506,-4.315,0,4,42.01,5,https://real.enamine.net/public-enum-files/Z109178092,<rdkit.Chem.rdchem.Mol object at 0x309cf28f0>,0.8580750246639838
25161,COC1=CC(=CC(=C1)C(=O)N2CCN(CC2)C(=O)CCC3CCCC3)OC,Z333751262,374.475,374.475,3.221,-5.115,0,4,59.08,6,https://real.enamine.net/public-enum-files/Z333751262,<rdkit.Chem.rdchem.Mol object at 0x309cf2960>,0.7681221609935709
25162,CN(C(=O)C=1C=CC(=NC1)OCC(F)(F)F)C2CCC=3C=CC=CC32,Z272466744,350.336,350.336,3.675,-4.772,0,3,42.43,6,https://real.enamine.net/public-enum-files/Z272466744,<rdkit.Chem.rdchem.Mol object at 0x309cf29d0>,0.8427115547826964
25163,COC1=CC=C(CC(=O)N(C)C2CCC=3C=CC=CC32)C(OC)=C1OC,Z272461252,355.428,355.428,2.368,-3.45,0,4,48.0,6,https://real.enamine.net/public-enum-files/Z272461252,<rdkit.Chem.rdchem.Mol object at 0x309cf2a40>,0.7967951214260863
25164,COC=1C=CC(=CC1OC)C(=O)N(C)C2CCC=3C=CC=CC32,Z272434612,311.376,311.376,3.107,-3.95,0,3,38.77,5,https://real.enamine.net/public-enum-files/Z272434612,<rdkit.Chem.rdchem.Mol object at 0x309cf2ab0>,0.8677139530167091
25165,CN1C=C(C=N1)NC(=O)C2=CC=C(S2)C=3C=CC(Cl)=CC3,Z373776160,317.795,317.795,3.697,-4.594,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z373776160,<rdkit.Chem.rdchem.Mol object at 0x309cf2b20>,0.7917020193480369
25166,COC=1C=CC=CC1CC(=O)NC2CCN(CC=3C=CC(Cl)=CC3)CC2,Z117582064,372.889,372.889,3.168,-3.926,1,3,41.57,6,https://real.enamine.net/public-enum-files/Z117582064,<rdkit.Chem.rdchem.Mol object at 0x309cf2b90>,0.8406922500561764
25167,COC=1C=CC=CC1C2=NC(=CS2)C(=O)N(C)C3CCN(C)CC3,Z943436806,345.461,345.461,0.776,-3.34,0,4,45.67,5,https://real.enamine.net/public-enum-files/Z943436806,<rdkit.Chem.rdchem.Mol object at 0x309cf2c00>,0.8545460738237437
