sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CN1C2CCC1CN(CC2)C(=O)NC3CCC(CC3)N4CCCCC4,Z1357184529,348.527,348.527,2.43,-1.63,1,3,38.82,4,https://real.enamine.net/public-enum-files/Z1357184529
CN1CCN(CC1)C=2C=CC(=CN2)NC(=O)C=3C=CC(F)=CC3,Z230193100,314.358,314.358,2.761,-3.011,1,4,48.47,4,https://real.enamine.net/public-enum-files/Z230193100
COC=1C=CC2=C(C1)CCCC2CC(=O)N3CCN(CCO)CC3,Z815843718,332.438,332.438,2.172,-2.559,1,4,53.01,6,https://real.enamine.net/public-enum-files/Z815843718
CC=1C=C(N=C(C)N1)N2CCN(CC2)C(=O)CC(C)C=3C=CC=CC3,Z815777824,338.448,338.448,2.96,-3.44,0,4,49.33,5,https://real.enamine.net/public-enum-files/Z815777824
COC=1C=CC=CC1N2N=NC(C(=O)NC=3C=CC=C(C3)C(C)=O)=C2C,Z108565244,350.372,350.372,2.308,-4.05,1,5,86.11,6,https://real.enamine.net/public-enum-files/Z108565244
CCOC=1C=CC=CC1NC(=O)C=2N=NN(C2C)C3=CC=CC=C3OC,Z108565270,352.388,352.388,2.484,-4.05,1,5,78.27,7,https://real.enamine.net/public-enum-files/Z108565270
O=C(CCC1=C(NC=2C=CC(F)=CC12)C=3C=CC(F)=CC3)N4CCOCC4,Z108673384,370.393,370.393,3.542,-5.56,1,2,45.33,4,https://real.enamine.net/public-enum-files/Z108673384
COC=1C=CC(=CC1)C2=CC=3N=CN(CC(=O)N(C)CC=4C=CC(C)=CC4)C(=O)C3S2,Z109289170,433.525,433.525,4.427,-5.99,0,4,62.21,7,https://real.enamine.net/public-enum-files/Z109289170
FC(F)CN1CCN(CC=2C=CC=3C=CC=CC3N2)CC1,Z1232745093,291.34,291.34,2.912,-2.35,0,3,19.37,4,https://real.enamine.net/public-enum-files/Z1232745093
COC=1C=CC=CC1N2CCC(C2=O)N3C=CN=C3,Z1929780738,257.288,257.288,1.482,-2.535,0,3,47.36,3,https://real.enamine.net/public-enum-files/Z1929780738
COC=1C=CC(=CC1)C=2NC=3C=CC=CC3C2CCC(=O)N4CCN(CC4)C=5C=CN=CC5,Z109494616,440.538,440.538,4.062,-5.63,1,4,61.46,6,https://real.enamine.net/public-enum-files/Z109494616
CC(=O)NC=1C=CC=C(C1)C(=O)NCC=2C=CC(=CC2)CN3CCCCC3,Z109705318,365.47,365.47,3.169,-3.661,2,3,61.44,6,https://real.enamine.net/public-enum-files/Z109705318
O=C(CC=1C=CC(Cl)=CC1)N2CC(OC=3C=CC=CC32)C(=O)N4CCCCC4,Z109819396,398.883,398.883,4.011,-5.561,0,3,49.85,3,https://real.enamine.net/public-enum-files/Z109819396
CN(CC=1C=CC=CC1N2CCCC2)C(=O)CN3C(=NC4=CC=CC=C43)C(F)(F)F,Z110017582,416.44,416.44,3.89,-4.516,0,3,41.37,6,https://real.enamine.net/public-enum-files/Z110017582
NC(=O)N1CCCN(CC2=CC=C(S2)C=3C=CC=CC3)CC1,Z1567498870,315.435,315.435,2.145,-3.882,1,2,49.57,4,https://real.enamine.net/public-enum-files/Z1567498870
CC(SC1=NN=C(O1)C2=CC=CN2)C3=NN=NN3C=4C=CC=CC4,Z384987808,339.377,339.377,1.07,-5.18,1,5,98.31,5,https://real.enamine.net/public-enum-files/Z384987808
COC1=CC=C2CCN(CC2=C1)C(=O)C3=CC=C(S3)C(=O)O,Z819168684,317.361,317.361,2.724,-4.077,1,4,66.84,4,https://real.enamine.net/public-enum-files/Z819168684
O=C(N[C@H]1CC[C@@H](O)C1)C2=CC=C(S2)C=3C=CC=4OCCOC4C3,Z2091868720,345.415,345.415,2.809,-5.033,2,4,67.79,4,https://real.enamine.net/public-enum-files/Z2091868720
CC(OC=1C=CC(F)=CC1Cl)C(=O)N2CCN(CC2)C=3C=CC=CC3,Z111990298,362.826,362.826,4.488,-5.362,0,3,32.78,5,https://real.enamine.net/public-enum-files/Z111990298
O=C(C=1C=CC=C2C=CC=NC12)N3CCC(CC3)C4=NC5=CC=CC=C5N4,Z220539212,356.421,356.421,2.585,-4.912,1,3,61.88,2,https://real.enamine.net/public-enum-files/Z220539212
O=C1CCCN1CCCSC2=CC=CC=C2F,Z821241128,253.337,253.337,2.762,-3.324,0,1,20.31,5,https://real.enamine.net/public-enum-files/Z821241128
CC(SC1=NC=CN1CC=2C=CC=CC2)C(=O)N3CC(=O)NC4=CC=CC=C43,Z112975138,392.476,392.476,2.898,-5.714,1,3,67.23,5,https://real.enamine.net/public-enum-files/Z112975138
COC=1C=CC=2NC=C(C2C1)C3CCN(CC4(O)CCCCC4)CC3,Z822213642,342.476,342.476,4.115,-3.52,2,3,48.49,4,https://real.enamine.net/public-enum-files/Z822213642
CC(C)(O)C1CN(C1)C(=O)NC=2C=CN=CC2,Z1913030463,235.283,235.283,-0.553,-1.521,2,3,65.46,4,https://real.enamine.net/public-enum-files/Z1913030463
CC=1N=C2CN(CCN2C1C)C(C)C3=NN=C(O3)C4=CC=CS4,Z991018828,329.422,329.422,1.385,-1.81,0,4,59.98,3,https://real.enamine.net/public-enum-files/Z991018828
COC=1C=CC=2NC=C(C2C1)C3CCN(CCN4CCCC4=O)CC3,Z821880552,341.448,341.448,2.323,-2.593,1,3,48.57,5,https://real.enamine.net/public-enum-files/Z821880552
CCN(CC=1C=CC(=CC1)C(=O)N(C)C)CC=2C=CC=3N=CC=CC3C2,Z1568382494,347.454,347.454,2.625,-4.213,0,3,36.44,7,https://real.enamine.net/public-enum-files/Z1568382494
COCC(C)N1CCN(CC2=CC=C3C=CC=CC3=N2)CC1,Z1341714845,299.411,299.411,2.829,-1.67,0,4,28.6,5,https://real.enamine.net/public-enum-files/Z1341714845
CC=1C=CC(=CC1C)NC(=O)CN2C(=O)CC3(CCCCC3)C2=O,Z107302528,328.406,328.406,3.551,-5.08,1,3,66.48,4,https://real.enamine.net/public-enum-files/Z107302528
COC=1C=CC(=CC1)C2=CC=3N=CN(CC(N)=O)C(=O)C3S2,Z114034326,315.349,315.349,1.528,-3.733,1,4,84.99,4,https://real.enamine.net/public-enum-files/Z114034326
COC=1C=CC(=CC1)C2=CC=3N=CN(CC(=O)N(CC=4C=CC=CC4)C(C)C)C(=O)C3S2,Z114035196,447.551,447.551,4.766,-5.949,0,4,62.21,7,https://real.enamine.net/public-enum-files/Z114035196
COC=1C=CC(=CN1)C(=O)C(C#N)C2=NN=C(C=3C=CC=CC3)N2C,Z822964126,333.345,333.345,1.05,-3.52,0,6,93.69,5,https://real.enamine.net/public-enum-files/Z822964126
COC=1C=CC=CC1N2CCN(CC2)C(=O)C=3C=CC(=CC3)OCC(N)=O,Z114983398,369.415,369.415,1.502,-4.117,1,5,85.1,6,https://real.enamine.net/public-enum-files/Z114983398
NC(=O)C=1C=CC=C(C1)NC(=O)CC2=CSC3=NC(=CN23)C=4C=CC=CC4,Z169537960,376.434,376.434,2.629,-5.588,2,3,89.49,5,https://real.enamine.net/public-enum-files/Z169537960
O=C(CCN1CCN(CCOC=2C=CC=CC2Cl)CC1)N3CCCCC3,Z368807430,379.925,379.925,2.534,-2.759,0,4,36.02,7,https://real.enamine.net/public-enum-files/Z368807430
COC=1C=CC=CC1N2CCN(CC2)C(=O)C=3C=C(NN3)C=4C=CC=CC4,Z116286042,362.426,362.426,3.621,-5.017,1,4,61.46,4,https://real.enamine.net/public-enum-files/Z116286042
CC(=O)N1CCN(CC1)C2CN(CC3CCCCC3)CC2C,Z1269080436,307.475,307.475,2.156,-2.76,0,3,26.79,4,https://real.enamine.net/public-enum-files/Z1269080436
O=C(CCC1=C(NC=2C=CC(F)=CC12)C=3C=CC(F)=CC3)N4CCC4,Z117073468,340.367,340.367,3.218,-5.7,1,1,36.1,5,https://real.enamine.net/public-enum-files/Z117073468
O=C(CN1CCN(CC1)C(=O)C2CC=3C=CC=CC3O2)NC=4C=CC(=CC4)OC(F)(F)F,Z117399380,449.424,449.424,4.128,-5.216,1,5,71.11,6,https://real.enamine.net/public-enum-files/Z117399380
CC=1C=CC(F)=C(C1)NC(=O)N2CCC3CCCCC3C2,Z410190428,290.376,290.376,3.776,-5.27,1,1,32.34,3,https://real.enamine.net/public-enum-files/Z410190428
CC=1NC=2C(=CC=CC2C1C)C(=O)N3CCN(CC4=CC=CC=C4F)CC3,Z339415602,365.445,365.445,4.442,-4.88,1,2,39.34,3,https://real.enamine.net/public-enum-files/Z339415602
COC=1C=C(C=C(C1)C2CCN(CC=3C=CC=C(C3)C(N)=O)C2)OC,Z1362586086,340.417,340.417,2.689,-3.12,1,4,64.79,6,https://real.enamine.net/public-enum-files/Z1362586086
CC(=O)N1CCC(CNC(=O)C2=CSC=3C=CC=CC23)C1,Z2144574317,302.393,302.393,0.801,-3.935,1,2,49.41,5,https://real.enamine.net/public-enum-files/Z2144574317
CC(C)C=1C=C(C(=O)NCC2=CC=C(C(F)=C2)N3C=CN=C3)C=4C=CC=CC4N1,Z826158244,388.438,388.438,4.981,-5.332,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z826158244
C=1SC(=NC1C2=NC=3C=CC=CC3S2)N4CCOCC4,Z118587486,303.405,303.405,2.855,-4.26,0,4,38.25,2,https://real.enamine.net/public-enum-files/Z118587486
CC=1C=CC(=CC1)NC(=O)CC2=NC(=CS2)C=3C=CC(=CC3)N4CCCC4=O,Z118584808,391.488,391.488,3.6,-5.36,1,3,62.3,5,https://real.enamine.net/public-enum-files/Z118584808
O=C(CC1=NC(=CS1)C=2C=CC(Br)=CC2)N3CCOCC3,Z118595608,367.262,367.262,2.557,-4.03,0,3,42.43,4,https://real.enamine.net/public-enum-files/Z118595608
CC=1C=CC=2C(Cl)=C(SC2C1)C(=O)N3CCCCC3,Z275165996,293.813,293.813,4.217,-5.47,0,1,20.31,2,https://real.enamine.net/public-enum-files/Z275165996
COC=1C=CC(=CC1Cl)NC(=O)C2CCCCN2C(=O)C=3C=CC=CC3,Z295607968,372.846,372.846,3.78,-5.42,1,3,58.64,6,https://real.enamine.net/public-enum-files/Z295607968
C=1C=CC=2OC(=NC2C1)NCCNC=3C=CC=4C=CC=CC4N3,Z826943318,304.347,304.347,4.228,-5.038,2,4,62.98,5,https://real.enamine.net/public-enum-files/Z826943318
O=C(NC=1C=CC(Cl)=CC1)C=2C=CC(=CC2)CN3CCCC3,Z242008116,314.81,314.81,4.089,-4.197,1,2,32.34,4,https://real.enamine.net/public-enum-files/Z242008116
O=C(C1=CSC(=N1)C=2C=CC=CC2)N3CC(OC=4C=CC=CC43)C(=O)N5CCOCC5,Z119684484,435.498,435.498,2.825,-6.309,0,5,71.97,3,https://real.enamine.net/public-enum-files/Z119684484
O=C(NC=1C=CC=CC1)C2CCN(CC2)C=3C=CC4=CC=CC=C4N3,Z94858816,331.412,331.412,3.254,-4.965,1,3,45.23,4,https://real.enamine.net/public-enum-files/Z94858816
ClC=1SN=NC1CSC2=NN=C(O2)C3=CNC=4C=CC=CC34,Z112411926,349.821,349.821,1.69,-6.69,1,4,80.49,4,https://real.enamine.net/public-enum-files/Z112411926
COC=1C=CC(=CC1)C2=CC=3N=CN(CC(=O)N(C)C4CCC(C)CC4)C(=O)C3S2,Z114036506,425.546,425.546,4.774,-5.779,0,4,62.21,5,https://real.enamine.net/public-enum-files/Z114036506
CC=1C=CC(=CC1)S(=O)(=O)N2CCCN(CC(=O)NC3CCCC=4C=CC=CC43)CC2,Z126387124,441.588,441.588,4.292,-4.78,1,4,69.72,4,https://real.enamine.net/public-enum-files/Z126387124
CC(C(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2)N3CC(C)CC(C)C3,Z123823528,393.545,393.545,4.109,-3.75,0,4,60.93,3,https://real.enamine.net/public-enum-files/Z123823528
CC(C(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2)N3CCCC(C)C3,Z123719836,379.519,379.519,3.59,-3.33,0,4,60.93,3,https://real.enamine.net/public-enum-files/Z123719836
CC(C(=O)NC1CCCCCC1)N2CCN(CC2)C=3N=CC=CN3,Z124005034,331.457,331.457,2.615,-3.33,1,5,61.36,5,https://real.enamine.net/public-enum-files/Z124005034
CC=1C=C(N=C(N1)C(C)C)N2CCN(CC(=O)NC3CCCC3)CC2,Z126045374,345.483,345.483,3.05,-2.587,1,5,61.36,6,https://real.enamine.net/public-enum-files/Z126045374
COC=1C=CC(=CC1)CN2N=NN=C2SCC3=CSC(C)=N3,Z126225584,333.435,333.435,2.61,-3.572,0,5,65.72,6,https://real.enamine.net/public-enum-files/Z126225584
CCC=1SC(=CC1C)C2=NN=C(CSC3=NN=NN3C4CC4)O2,Z126269112,348.449,348.449,2.613,-4.629,0,5,82.52,6,https://real.enamine.net/public-enum-files/Z126269112
CCC=1C=CC=C2C(=CNC12)C(=O)N3CCC(CC3)C(=O)NC(C)C,Z1127382520,341.448,341.448,1.663,-4.38,2,2,65.2,6,https://real.enamine.net/public-enum-files/Z1127382520
N#CC=1C=CN=CC1N2CCC(CC2)C(=O)N3CCCC3,Z1570719504,284.357,284.357,-0.239,-1.778,0,4,60.23,3,https://real.enamine.net/public-enum-files/Z1570719504
CC1OC=2C(=CC=CC2NC1=O)C(=O)NC3CCOCC3,Z1128281765,290.315,290.315,0.019,-3.043,2,4,76.66,3,https://real.enamine.net/public-enum-files/Z1128281765
CCC=1C=CC(=CC1S(=O)(=O)N2CCOCC2)C(=O)NC3=CC=CC(Cl)=C3,Z336998976,408.9,408.9,3.982,-5.434,1,4,75.71,4,https://real.enamine.net/public-enum-files/Z336998976
O=S(=O)(NC1CCC(CC1)C(F)(F)F)C=2C=CC=3OCCOC3C2,Z271545166,365.37,365.37,2.992,-4.303,1,4,64.63,4,https://real.enamine.net/public-enum-files/Z271545166
CC=1C=CC(O)=C(C1)C(=O)N2CCC(CN3CCCCCC3)CC2,Z845131866,330.465,330.465,3.409,-3.12,1,3,43.78,4,https://real.enamine.net/public-enum-files/Z845131866
O=C(NCC1=NN=C2CCCCN12)C=3C=CC=C(C3)C(F)F,Z1128204841,306.311,306.311,0.644,-2.62,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z1128204841
CCOC=1C=CC(=CC1)C2CCCN2CC(=O)N3CCC=4NC5=CC=CC=C5C4C3,Z267993002,403.518,403.518,4.242,-4.782,1,3,48.57,5,https://real.enamine.net/public-enum-files/Z267993002
O=C(C=1C=CC=CC1)N2CCC(CC2)N3C(=O)NC=4C=CC=CC43,Z126938542,321.374,321.374,2.091,-4.808,1,2,52.65,2,https://real.enamine.net/public-enum-files/Z126938542
O=C(CN1CCC(CC1)N2C(=O)NC=3C=CC=CC32)NC4CCCC=5C=CC=CC54,Z126940946,404.506,404.506,3.796,-4.869,2,3,64.68,5,https://real.enamine.net/public-enum-files/Z126940946
CC=CC=1C=CC(OC=2C=NN(C(=O)C2Cl)C=3C=CC(=CN3)C(F)(F)F)=C(C1)OC,Z127394400,437.8,437.8,3.703,-6.549,0,5,64.02,6,https://real.enamine.net/public-enum-files/Z127394400
O=C(CN1C(=NC=2C=CC=CC21)C(F)(F)F)N3CCC(CC3)N4C(=O)NC=5C=CC=CC54,Z126939062,443.423,443.423,3.113,-5.236,1,3,70.47,5,https://real.enamine.net/public-enum-files/Z126939062
COC=1C=CC=C(C1)C(=O)N2CCC(CC2)N3C(=O)NC=4C=CC=CC43,Z126938572,351.4,351.4,2.311,-4.796,1,3,61.88,4,https://real.enamine.net/public-enum-files/Z126938572
N#CC=1C=CC(=CC1)C(=O)N2CCC(CC2)N3C(=O)NC=4C=CC=CC43,Z126938588,346.383,346.383,1.699,-5.084,1,3,76.44,2,https://real.enamine.net/public-enum-files/Z126938588
COC1=CC(=CC(OC)=C1OC)CCC(=O)N2CCC(CC2)N3C(=O)NC=4C=CC=CC43,Z126938656,439.505,439.505,1.669,-4.511,1,5,80.34,7,https://real.enamine.net/public-enum-files/Z126938656
CC(NC=1N=CN=C2SC=C(C=3C=CC=CC3)C12)C4=NN=C5C=CC=CN45,Z128086668,372.448,372.448,3.53,-6.576,1,5,68,4,https://real.enamine.net/public-enum-files/Z128086668
CC=1C=CC=C(C1)C2=NN=C(O2)SC=3N=C4SC=CN4C3[N+]([O-])=O,Z127486704,359.386,359.386,3.101,-7.76,0,5,99.36,4,https://real.enamine.net/public-enum-files/Z127486704
O=C(C=1C=CC=C2NC(=O)COC12)N3CCCC3CC4CCCCC4,Z1128649541,342.433,342.433,3.598,-5.528,1,3,58.64,4,https://real.enamine.net/public-enum-files/Z1128649541
O=C(COC=1C=CC(F)=CC1)N2CCC(CC2)N3C(=O)NC4=CC=CC=C43,Z131402664,369.39,369.39,2.74,-4.982,1,3,61.88,5,https://real.enamine.net/public-enum-files/Z131402664
O=C(CNC(=O)C1=CC=CC(=C1)OC(F)F)N2CCC(CC2)N3C(=O)NC=4C=CC=CC43,Z131399554,444.432,444.432,2.289,-5.55,2,4,90.98,6,https://real.enamine.net/public-enum-files/Z131399554
CC1=NC(=NN1C=2C=CC(Cl)=CC2)C(=O)NC(C)C=3C=CC(=CC3)S(C)(=O)=O,Z131461578,418.899,418.899,2.538,-3.92,1,5,93.95,6,https://real.enamine.net/public-enum-files/Z131461578
CC(OC=1C=CC(F)=CC1)C(=O)N2CCC(CC2)NC(=O)C=3C=CC=CC3,Z212738938,370.418,370.418,2.296,-5.251,1,3,58.64,5,https://real.enamine.net/public-enum-files/Z212738938
O=C(CN1C(=NC=2C=CC=CC21)C(F)(F)F)N3CCCC3C=4C=CN=CC4,Z281597126,374.361,374.361,2.324,-3.493,0,3,51.02,4,https://real.enamine.net/public-enum-files/Z281597126
COC(=O)C1CC=2C=CC=CC2N1C(=O)CC=3C=CC(=CC3)OC,Z1128452355,325.359,325.359,2.9,-3.75,0,3,55.84,6,https://real.enamine.net/public-enum-files/Z1128452355
COC=1C=CC(=CC1)C2=NC(=CO2)CN3CCC(CC3)C(=O)NCC=4C=CC=CC4,Z281113086,405.491,405.491,2.592,-3.747,1,4,67.6,7,https://real.enamine.net/public-enum-files/Z281113086
O=C(C=1C=CC(=CC1)OC(F)F)N2CCCC(C2)C3=NC4=CC=CC=C4N3,Z226443178,371.381,371.381,3.217,-5.24,1,3,58.22,5,https://real.enamine.net/public-enum-files/Z226443178
O=C(CCC1=CNC=2C=CC=CC12)NC=3C=CC(=CC3)C(=O)N4CCCC4,Z279096716,361.438,361.438,2.816,-4.99,2,2,65.2,5,https://real.enamine.net/public-enum-files/Z279096716
COC=1C=CC(=CC1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC=4C=C(Cl)C=CC4N3,Z300282944,433.91,433.91,3.805,-5.86,1,4,82.71,3,https://real.enamine.net/public-enum-files/Z300282944
CC(NC=1C=CC=C(C1)C(=O)NC2CC2)C(=O)N3CCCCC3,Z132811736,315.411,315.411,1.838,-3.6,2,3,61.44,7,https://real.enamine.net/public-enum-files/Z132811736
COC=1C=CC(C(=O)NC2CC2C3=CC=CC=C3F)=C(OC)C1OC,Z1129422023,345.366,345.366,2.561,-4.18,1,4,56.79,7,https://real.enamine.net/public-enum-files/Z1129422023
CC=1C(=CC=CC1OC2CCCC2)NC(=O)C=3C=CC=C(C3)C(N)=O,Z1129399001,338.401,338.401,2.88,-5.15,2,3,81.42,6,https://real.enamine.net/public-enum-files/Z1129399001
CN1C(=O)CCC=2C=C(C=CC21)NC(=O)C3CCCC=4C=CC=CC43,Z1129403874,334.412,334.412,2.892,-4.81,1,2,49.41,3,https://real.enamine.net/public-enum-files/Z1129403874
O=C(NC(C=1C=CC(Cl)=CC1)C2CCCC2)C3CCC(=O)NC3,Z1129319366,334.841,334.841,2.903,-4.3,2,2,58.2,5,https://real.enamine.net/public-enum-files/Z1129319366
CC(C1CC1)N(CC=2C=CC=CC2)S(=O)(=O)C=3C=CC(=CC3)N4CCCC4=O,Z133989788,398.52,398.52,4.347,-4.678,0,3,57.69,6,https://real.enamine.net/public-enum-files/Z133989788
O=C(C=1C=CC(=CC1)CNS(=O)(=O)C=2C=CC=C(Cl)C2)N3CCCCC3,Z133904856,392.901,392.901,3.362,-4.958,1,3,66.48,6,https://real.enamine.net/public-enum-files/Z133904856
CC(NS(=O)(=O)C=1C=CC(=CC1)N2CCCC2=O)C3=CC=CN=C3,Z133804240,345.418,345.418,1.461,-2.847,1,4,79.37,5,https://real.enamine.net/public-enum-files/Z133804240
CNC(=O)C=1C=CC(=CC1)CN(C)S(=O)(=O)C=2C=CC=3CCCCC3C2,Z133877714,372.483,372.483,3.396,-5.325,1,3,66.48,4,https://real.enamine.net/public-enum-files/Z133877714
CC1CC1C(=O)N(C)C2CCN(CC2)C=3N=CN=C4C=CC=CC34,Z1129749030,324.421,324.421,1.629,-4.52,0,4,49.33,3,https://real.enamine.net/public-enum-files/Z1129749030
O=C(C=1C=C(ON1)C2CC2)N3CCCC3C4CCCC4=O,Z1616768549,288.342,288.342,0.652,-2.567,0,3,63.41,4,https://real.enamine.net/public-enum-files/Z1616768549
CC(NC=1C=CC=2OCOC2C1)C3=NN=C(O3)C=4C=CC=CC4,Z126626674,309.32,309.32,2.042,-4.77,1,5,69.41,4,https://real.enamine.net/public-enum-files/Z126626674
CC1=NC=CN1C=2C=CC=CC2CNC(=O)C=3C=NN(C3C)C=4C=CC(F)=CC4,Z857721674,389.427,389.427,3.598,-3.55,1,3,64.74,5,https://real.enamine.net/public-enum-files/Z857721674
O=C(NC1CC1)C=2C=CC(=CC2)CN3CCCCC3,Z183424866,258.359,258.359,2.472,-2.392,1,2,32.34,4,https://real.enamine.net/public-enum-files/Z183424866
O=C(CC1C=CCC1)N2CCC(CC2)N3C(=O)NC=4C=CC=CC43,Z131403858,325.406,325.406,1.879,-4.033,1,2,52.65,4,https://real.enamine.net/public-enum-files/Z131403858
O=C(COC=1C=CC(Cl)=CC1Cl)N2CC=C(CC2)C3=CNC=4C=CC=CC34,Z229657534,401.286,401.286,4.845,-6.687,1,2,45.33,4,https://real.enamine.net/public-enum-files/Z229657534
CCC1=CC=2C(=NC=NC2S1)N3CCN(CC3)C(=O)C4CCCO4,Z285799104,346.449,346.449,2.619,-4.773,0,5,58.56,4,https://real.enamine.net/public-enum-files/Z285799104
CN1C=NC2=C1C(=O)N(CCCN3CCC=4C=CC=CC43)C(=O)N2C,Z138174992,339.393,339.393,2.77,-2.996,0,4,61.68,4,https://real.enamine.net/public-enum-files/Z138174992
CC1(C)CC(CC(C)(C)N1)NC=2C=C(C(=O)N3CCOCC3)C=4C=CC=CC4N2,Z285718554,396.527,396.527,3.3,-4.5,2,5,66.49,3,https://real.enamine.net/public-enum-files/Z285718554
CC1(C)CC(CC(C)(C)N1)NC=2C=C(C(=O)NC3CC3)C=4C=CC=CC4N2,Z285718556,366.501,366.501,4.289,-4.54,3,4,66.05,4,https://real.enamine.net/public-enum-files/Z285718556
CCC1=CC=2C(=NC=NC2S1)N3CCN(CC(=O)N4CCOCC4)CC3,Z285836156,375.49,375.49,2.439,-3.919,0,6,61.8,4,https://real.enamine.net/public-enum-files/Z285836156
CC(C)N1CCC(CC1)N(C)C=2N=CC=CC2C#N,Z285898706,258.363,258.363,1.885,-1.68,0,4,43.16,3,https://real.enamine.net/public-enum-files/Z285898706
O=C(C=1C=CC=CC1)N2CC=C(CC2)C3=CNC=4N=CC=CC34,Z244415658,303.359,303.359,2.137,-4.769,1,2,48.99,2,https://real.enamine.net/public-enum-files/Z244415658
O=C(CN1C=NC=2C=C(F)C(F)=CC21)NC=3C=CC=CC3C=4C=CC=CC4,Z283749628,363.361,363.361,3.461,-6.204,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z283749628
COC=1C=C2CCN(CC2=CC1OC)S(=O)(=O)C=3C=CC=C(C3)OC(F)(F)F,Z286031210,417.401,417.401,4.326,-4.798,0,5,65.07,5,https://real.enamine.net/public-enum-files/Z286031210
O=C(CC=1C=CC=C(O)C1)N2CCC(C2)C=3C=CC=C(F)C3,Z1131827493,299.34,299.34,2.724,-3.446,1,2,40.54,4,https://real.enamine.net/public-enum-files/Z1131827493
NC(=O)C=1C=CC(=NC1)C(=O)N(CC=2C=CC=NC2)C3CC3,Z915781832,296.325,296.325,-0.123,-2.127,1,4,89.18,6,https://real.enamine.net/public-enum-files/Z915781832
COC=1C=C(C=CC1C)C(=O)N2CC=C(CC2)C3=CNC4=CC=CC=C34,Z229667568,346.423,346.423,3.813,-5.615,1,2,45.33,3,https://real.enamine.net/public-enum-files/Z229667568
Cl.CC(C(=O)O)N1CCCN(CC1)C(=O)C=2C=CC=CC2C(F)(F)F,Z1459967721,380.79,344.33,0.624,-3.78,1,4,60.85,5,https://real.enamine.net/public-enum-files/Z1459967721
C=1C=CC2=C(C1)OC3(CCC3)CC2NCC4CCN(C4)C5CC5,Z1437630497,312.45,312.45,2.689,-2.953,1,3,24.5,4,https://real.enamine.net/public-enum-files/Z1437630497
COC=1C=CC(C)=CC1NC(=O)C=2C=CC=CC2OCC3CCCO3,Z169625532,341.402,341.402,3.051,-4.671,1,4,56.79,7,https://real.enamine.net/public-enum-files/Z169625532
O=C(NC1CC1)C2CCCN(CCC=3C=CC=CC3Cl)C2,Z961255840,306.831,306.831,3.503,-2.85,1,2,32.34,6,https://real.enamine.net/public-enum-files/Z961255840
O=C(NC1CCN(CC=2C=CC=CC2)C1)C=3C=CC(=CC3)N4C=NN=N4,Z142122896,348.403,348.403,2.646,-3.679,1,5,75.94,6,https://real.enamine.net/public-enum-files/Z142122896
CC(CC(=O)NN1C=NC=2SC=C(C=3C=CC=CC3)C2C1=O)NC(=O)C=4C=CC=CC4,Z142979122,432.497,432.497,1.829,-7.05,2,4,90.87,6,https://real.enamine.net/public-enum-files/Z142979122
COC=1C=CC(=CC1F)CN2CCN(CC2)C(=O)C3=CC4=CC(Cl)=CC=C4N3,Z300637354,401.862,401.862,4.244,-5.48,1,3,48.57,4,https://real.enamine.net/public-enum-files/Z300637354
O=C(NCC=1C=CC(=CC1)CN2CCCC2)N3CCN(CC3)C4CC4,Z1132698081,342.479,342.479,2.779,-1.746,1,3,38.82,7,https://real.enamine.net/public-enum-files/Z1132698081
CC(C)C=1OC=NC1CN2C=NC=3C(=NC=NC32)N(C)C,Z1575465682,286.333,286.333,0.827,-2.484,0,5,72.87,4,https://real.enamine.net/public-enum-files/Z1575465682
CC=1N=CC(C(=O)N2CCCCC3CCCCC32)=C(N1)C(C)C,Z1576060304,315.454,315.454,3.661,-3.88,0,3,46.09,3,https://real.enamine.net/public-enum-files/Z1576060304
CC(C)C=1C=C(C(=O)N2CCCCC3CCCCC32)N(C)N1,Z1576070120,303.443,303.443,3.391,-3.8,0,2,38.13,3,https://real.enamine.net/public-enum-files/Z1576070120
O=C(C1=NOC=2CCCCC12)N3CCCCC4CCCCC43,Z1576061312,302.412,302.412,3.4,-4.24,0,2,46.34,2,https://real.enamine.net/public-enum-files/Z1576061312
CC1=NOC(C)=C1S(=O)(=O)N2CCN(CC2)C(=O)C(C)NC=3N=CN=C4SC(C)=C(C)C34,Z146898738,478.591,478.591,3.35,-4.84,1,7,121.53,4,https://real.enamine.net/public-enum-files/Z146898738
O=C(CCC1=NC(=NO1)C=2C=CN=CC2)NC3=CC=CC4=CC=CN=C34,Z225109804,345.356,345.356,1.583,-3.428,1,5,93.8,5,https://real.enamine.net/public-enum-files/Z225109804
O=C(C=1C=CN=C2C=CC=CC12)N3CCC(CC=4C=CC=NC4)CC3,Z1576325196,331.412,331.412,2.523,-3.711,0,3,46.09,4,https://real.enamine.net/public-enum-files/Z1576325196
